KEGGID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
1	04510	7.74888328239385e-06	4.22893081761006	4.47371375116932	16	196	Focal adhesion
2	05414	0.000171098451854125	5.12024336283186	2.03143124415341	9	89	Dilated cardiomyopathy
3	04666	0.000203045906922555	4.99341679257501	2.07708138447147	9	91	Fc gamma R-mediated phagocytosis
4	05146	0.000480702084429776	4.39337710533828	2.32815715622077	9	102	Amoebiasis
5	04810	0.000760649045376601	3.10833293720588	4.70196445275959	13	206	Regulation of actin cytoskeleton
6	04972	0.00154937790275202	4.04809777252119	2.21403180542563	8	97	Pancreatic secretion
7	04010	0.00185123596145061	2.67972952205317	5.82039289055192	14	255	MAPK signaling pathway
8	04512	0.00217191603842394	4.29422275163788	1.82600561272217	7	80	ECM-receptor interaction
9	05410	0.00250351243166425	4.17808695652174	1.87165575304022	7	82	Hypertrophic cardiomyopathy (HCM)
10	04540	0.00287284247523557	4.06798418972332	1.91730589335828	7	84	Gap junction
11	04730	0.00343962112880522	4.52717708942139	1.48362956033676	6	65	Long-term depression
12	04270	0.00383696440002566	3.45411605937922	2.55640785781104	8	112	Vascular smooth muscle contraction
13	05416	0.00579430256689354	4.80955035302861	1.16407857811038	5	51	Viral myocarditis
14	04150	0.00579430256689354	4.80955035302861	1.16407857811038	5	51	mTOR signaling pathway
15	04971	0.00611572409983616	3.98044261451364	1.66623012160898	6	73	Gastric acid secretion
16	05412	0.00653383366586525	3.92114604462475	1.68905519176801	6	74	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
17	04974	0.00743189387999447	3.8076354679803	1.73470533208606	6	76	Protein digestion and absorption
18	04070	0.00743189387999447	3.8076354679803	1.73470533208606	6	76	Phosphatidylinositol signaling system
19	04970	0.00949074115070896	3.59902143522833	1.82600561272217	6	80	Salivary secretion
