"","ENSEMBL","ENTREZID","SYMBOL"
"1","ENSG00000115112","29842","TFCP2L1"
"2","ENSG00000229391","3128","HLA-DRB6"
"4","ENSG00000116990","4610","MYCL"
"6","ENSG00000128422","3872","KRT17"
"9","ENSG00000132437","1644","DDC"
"10","ENSG00000118194","7139","TNNT2"
"11","ENSG00000112562","64094","SMOC2"
"14","ENSG00000255986","4498","MT1JP"
"16","ENSG00000116031","50489","CD207"
"17","ENSG00000064300","4804","NGFR"
"18","ENSG00000100453","3002","GZMB"
"19","ENSG00000133067","59352","LGR6"
"20","ENSG00000264230","728113","ANXA8L1"
"21","ENSG00000096060","2289","FKBP5"
"23","ENSG00000129151","8424","BBOX1"
"25","ENSG00000204128","257407","C2orf72"
"26","ENSG00000167768","3848","KRT1"
"27","ENSG00000084674","338","APOB"
"28","ENSG00000179913","10331","B3GNT3"
"29","ENSG00000223865","3115","HLA-DPB1"
"31","ENSG00000101347","25939","SAMHD1"
"32","ENSG00000166106","170689","ADAMTS15"
"33","ENSG00000174944","9934","P2RY14"
"34","ENSG00000099834","53841","CDHR5"
"35","ENSG00000183049","57118","CAMK1D"
"36","ENSG00000184574","57121","LPAR5"
"37","ENSG00000104938","10332","CLEC4M"
"38","ENSG00000126353","1236","CCR7"
"39","ENSG00000138823","4547","MTTP"
"40","ENSG00000237438","100130418","CECR7"
"41","ENSG00000167600","29785","CYP2S1"
"43","ENSG00000178445","2731","GLDC"
"44","ENSG00000141052","93649","MYOCD"
"45","ENSG00000161944","433","ASGR2"
"46","ENSG00000205362","4489","MT1A"
"48","ENSG00000198807","5083","PAX9"
"49","ENSG00000187017","83715","ESPN"
"50","ENSG00000198804","4512","COX1"
"51","ENSG00000241839","80301","PLEKHO2"
"52","ENSG00000138755","4283","CXCL9"
"53","ENSG00000178934","3963","LGALS7"
"54","ENSG00000178934","653499","LGALS7B"
"55","ENSG00000241644","11185","INMT"
"57","ENSG00000225968","392617","ELFN1"
"58","ENSG00000117154","84966","IGSF21"
"60","ENSG00000165507","11067","DEPP1"
"61","ENSG00000125148","4502","MT2A"
"62","ENSG00000109182","80157","CWH43"
"63","ENSG00000140323","85455","DISP2"
"64","ENSG00000124602","222643","UNC5CL"
"65","ENSG00000128594","64101","LRRC4"
"66","ENSG00000140459","1583","CYP11A1"
"67","ENSG00000187796","64170","CARD9"
"68","ENSG00000231389","3113","HLA-DPA1"
"69","ENSG00000205076","3963","LGALS7"
"70","ENSG00000205076","653499","LGALS7B"
"72","ENSG00000054967","84957","RELT"
"73","ENSG00000198670","4018","LPA"
"74","ENSG00000187193","4501","MT1X"
"75","ENSG00000120708","7045","TGFBI"
"76","ENSG00000144837","51365","PLA1A"
"78","ENSG00000158055","57822","GRHL3"
"79","ENSG00000183023","6546","SLC8A1"
"80","ENSG00000169894","4584","MUC3A"
"81","ENSG00000180209","29895","MYLPF"
"85","ENSG00000158825","978","CDA"
"86","ENSG00000099725","5616","PRKY"
"87","ENSG00000173597","27284","SULT1B1"
"88","ENSG00000121807","729230","CCR2"
"89","ENSG00000168824","27065","NSG1"
"90","ENSG00000169994","4648","MYO7B"
"91","ENSG00000160791","1234","CCR5"
"92","ENSG00000164543","9263","STK17A"
"94","ENSG00000144644","339896","GADL1"
"95","ENSG00000072818","9744","ACAP1"
"96","ENSG00000101187","28231","SLCO4A1"
"97","ENSG00000110799","7450","VWF"
"100","ENSG00000213221","728489","DNLZ"
"101","ENSG00000131781","2330","FMO5"
"102","ENSG00000158457","340348","TSPAN33"
"103","ENSG00000227028","100128590","SLC8A1-AS1"
"104","ENSG00000135226","54490","UGT2B28"
"105","ENSG00000107249","169792","GLIS3"
"106","ENSG00000204622","3137","HLA-J"
"107","ENSG00000169715","4493","MT1E"
"108","ENSG00000135744","183","AGT"
"110","ENSG00000197629","219972","MPEG1"
"111","ENSG00000237975","339400","FLG-AS1"
"112","ENSG00000176887","6664","SOX11"
"113","ENSG00000204338","1590","CYP21A1P"
"114","ENSG00000206341","3136","HLA-H"
"115","ENSG00000173578","2829","XCR1"
"116","ENSG00000245904","101928617","LOC101928617"
"117","ENSG00000154080","83539","CHST9"
"118","ENSG00000166897","114794","ELFN2"
"119","ENSG00000089177","55614","KIF16B"
"121","ENSG00000204287","3122","HLA-DRA"
"122","ENSG00000125780","7053","TGM3"
"124","ENSG00000095370","10044","SH2D3C"
"125","ENSG00000185739","6345","SRL"
"126","ENSG00000086570","2196","FAT2"
"127","ENSG00000115919","8942","KYNU"
"128","ENSG00000113722","1044","CDX1"
"129","ENSG00000110077","64231","MS4A6A"
"130","ENSG00000007306","1087","CEACAM7"
"131","ENSG00000166428","122618","PLD4"
"132","ENSG00000086548","4680","CEACAM6"
"133","ENSG00000198523","5350","PLN"
"134","ENSG00000143869","151449","GDF7"
"135","ENSG00000155849","9844","ELMO1"
"136","ENSG00000197249","5265","SERPINA1"
"137","ENSG00000160111","27151","CPAMD8"
"139","ENSG00000169413","6039","RNASE6"
"140","ENSG00000205358","4496","MT1H"
"141","ENSG00000164308","64167","ERAP2"
"142","ENSG00000118515","6446","SGK1"
"143","ENSG00000240602","201651","AADACP1"
"144","ENSG00000156011","23362","PSD3"
"145","ENSG00000188505","342897","NCCRP1"
"146","ENSG00000170989","1901","S1PR1"
"147","ENSG00000133488","284904","SEC14L4"
"148","ENSG00000179639","2205","FCER1A"
"149","ENSG00000204482","7940","LST1"
"150","ENSG00000126759","5199","CFP"
"151","ENSG00000145936","3779","KCNMB1"
"152","ENSG00000068001","8692","HYAL2"
"153","ENSG00000174600","1240","CMKLR1"
"154","ENSG00000130303","684","BST2"
"155","ENSG00000132514","10462","CLEC10A"
"156","ENSG00000159189","714","C1QC"
"157","ENSG00000168404","197259","MLKL"
"158","ENSG00000089356","5349","FXYD3"
"159","ENSG00000089327","53827","FXYD5"
"160","ENSG00000198712","4513","COX2"
"161","ENSG00000204632","3135","HLA-G"
"162","ENSG00000142748","8547","FCN3"
"163","ENSG00000105643","27106","ARRDC2"
"164","ENSG00000011600","7305","TYROBP"
"165","ENSG00000213203","170575","GIMAP1"
"166","ENSG00000196405","51466","EVL"
"167","ENSG00000236333","283392","TRHDE-AS1"
"169","ENSG00000154127","84959","UBASH3B"
"170","ENSG00000029534","286","ANK1"
"171","ENSG00000111404","79785","RERGL"
"172","ENSG00000149527","9651","PLCH2"
"174","ENSG00000274993","105375431","LOC105375431"
"175","ENSG00000185338","8651","SOCS1"
"176","ENSG00000188820","441168","CALHM6"
"178","ENSG00000109906","7704","ZBTB16"
"180","ENSG00000100427","23209","MLC1"
"181","ENSG00000106991","2022","ENG"
"182","ENSG00000102034","2000","ELF4"
"183","ENSG00000171729","55092","TMEM51"
"184","ENSG00000112902","9037","SEMA5A"
