"";"ENSEMBL";"ENTREZID";"SYMBOL"
"1";"ENSG00000113070";"1839";"HBEGF"
"2";"ENSG00000080824";"3320";"HSP90AA1"
"3";"ENSG00000173467";"155465";"AGR3"
"4";"ENSG00000133063";"1118";"CHIT1"
"6";"ENSG00000092421";"57556";"SEMA6A"
"7";"ENSG00000180481";"144321";"GLIPR1L2"
"8";"ENSG00000169908";"4071";"TM4SF1"
"9";"ENSG00000270757";"100529241";"HSPE1-MOB4"
"10";"ENSG00000078018";"4133";"MAP2"
"11";"ENSG00000116285";"54206";"ERRFI1"
"12";"ENSG00000163710";"26577";"PCOLCE2"
"13";"ENSG00000106211";"3315";"HSPB1"
"14";"ENSG00000134202";"2947";"GSTM3"
"16";"ENSG00000140403";"55466";"DNAJA4"
"17";"ENSG00000260230";"23732";"FRRS1L"
"18";"ENSG00000116717";"1647";"GADD45A"
"19";"ENSG00000137872";"80031";"SEMA6D"
"20";"ENSG00000170423";"196374";"KRT78"
"21";"ENSG00000181019";"1728";"NQO1"
"22";"ENSG00000149257";"871";"SERPINH1"
"23";"ENSG00000223701";"100652739";"RAET1E-AS1"
"24";"ENSG00000042445";"54884";"RETSAT"
"26";"ENSG00000166592";"6236";"RRAD"
"27";"ENSG00000100739";"623";"BDKRB1"
"28";"ENSG00000100346";"8911";"CACNA1I"
"29";"ENSG00000055732";"55283";"MCOLN3"
"31";"ENSG00000254614";"728975";"LOC728975"
"32";"ENSG00000206384";"131873";"COL6A6"
"33";"ENSG00000034971";"4653";"MYOC"
"34";"ENSG00000161055";"92304";"SCGB3A1"
"35";"ENSG00000100604";"1113";"CHGA"
"36";"ENSG00000147813";"93100";"NAPRT"
"39";"ENSG00000153208";"10461";"MERTK"
"40";"ENSG00000154914";"124739";"USP43"
"41";"ENSG00000081041";"2920";"CXCL2"
"43";"ENSG00000122547";"80820";"EEPD1"
"44";"ENSG00000153234";"4929";"NR4A2"
"45";"ENSG00000145536";"170690";"ADAMTS16"
"47";"ENSG00000087842";"8544";"PIR"
"48";"ENSG00000116161";"27101";"CACYBP"
"49";"ENSG00000105131";"79852";"EPHX3"
"50";"ENSG00000170579";"9229";"DLGAP1"
"51";"ENSG00000104808";"27294";"DHDH"
"52";"ENSG00000165309";"219681";"ARMC3"
"53";"ENSG00000198788";"4583";"MUC2"
"54";"ENSG00000086061";"3301";"DNAJA1"
"55";"ENSG00000102678";"2254";"FGF9"
"56";"ENSG00000163293";"152519";"NIPAL1"
"57";"ENSG00000204396";"80737";"VWA7"
"58";"ENSG00000001626";"1080";"CFTR"
"59";"ENSG00000117983";"727897";"MUC5B"
"60";"ENSG00000173391";"4973";"OLR1"
"61";"ENSG00000167549";"84940";"CORO6"
"64";"ENSG00000158486";"55567";"DNAH3"
"65";"ENSG00000163377";"151647";"FAM19A4"
"66";"ENSG00000204385";"80736";"SLC44A4"
"67";"ENSG00000226752";"253039";"CUTALP"
"68";"ENSG00000165655";"84858";"ZNF503"
"69";"ENSG00000147614";"245972";"ATP6V0D2"
"71";"ENSG00000164741";"10395";"DLC1"
"73";"ENSG00000012171";"7869";"SEMA3B"
"74";"ENSG00000066405";"51208";"CLDN18"
"75";"ENSG00000136546";"6332";"SCN7A"
"76";"ENSG00000106633";"2645";"GCK"
"77";"ENSG00000120903";"1135";"CHRNA2"
"78";"ENSG00000096384";"3326";"HSP90AB1"
"79";"ENSG00000166206";"2562";"GABRB3"
"82";"ENSG00000157927";"55698";"RADIL"
"83";"ENSG00000187957";"92737";"DNER"
"84";"ENSG00000158816";"127731";"VWA5B1"
"86";"ENSG00000166483";"7465";"WEE1"
"87";"ENSG00000137968";"204962";"SLC44A5"
"88";"ENSG00000161849";"3890";"KRT84"
"89";"ENSG00000263429";"100289255";"TMEM238L"
"91";"ENSG00000204390";"3305";"HSPA1L"
"94";"ENSG00000122592";"3204";"HOXA7"
"95";"ENSG00000188483";"389792";"IER5L"
"96";"ENSG00000151726";"2180";"ACSL1"
"97";"ENSG00000198075";"27233";"SULT1C4"
"98";"ENSG00000115290";"2888";"GRB14"
"99";"ENSG00000248925";"102467073";"HRAT5"
"100";"ENSG00000108691";"6347";"CCL2"
"101";"ENSG00000147697";"56169";"GSDMC"
"103";"ENSG00000164756";"169026";"SLC30A8"
"104";"ENSG00000100591";"10598";"AHSA1"
"106";"ENSG00000253958";"137075";"CLDN23"
"107";"ENSG00000185559";"8788";"DLK1"
"109";"ENSG00000135476";"9700";"ESPL1"
"112";"ENSG00000102683";"6445";"SGCG"
"114";"ENSG00000123358";"3164";"NR4A1"
"116";"ENSG00000159409";"11189";"CELF3"
"117";"ENSG00000128342";"3976";"LIF"
"119";"ENSG00000141401";"3613";"IMPA2"
"120";"ENSG00000236824";"618";"BCYRN1"
