seqnames	start	end	width	strand	freq	type	caco	freqControl	typeControl	p.values	padj	GENES
1	chr2	69963462	69963500	39	*	11	both	obese	4	loss	0.0268377292262022	0.0536754584524045	PCBP1-AS1
2	chr2	69996858	69996888	31	*	14	both	obese	5	loss	0.00169915042478761	0.00545144094619358	PCBP1-AS1
3	chr2	70086124	70086245	122	*	15	loss	obese	7	both	0.00219890054972513	0.00627093860477167	PCBP1-AS1
4	chr2	157325643	157325662	20	*	5	both	obese	6	both	1	1	ERMN
5	chr2	189791700	189795951	4252	*	4	both	obese	6	both	0.699850074962519	0.798176628471334	PMS1
6	chr2	231712849	231713013	165	*	8	loss	obese	7	loss	1	1	PTMA
7	chr12	309803	309964	162	*	4	both	obese	15	both	4.9975012493753e-05	0.000256538397467932	KDM5A
8	chr12	320995	323206	2212	*	4	both	obese	15	both	4.9975012493753e-05	0.000256538397467932	KDM5A
9	chr12	323595	334422	10828	*	5	both	obese	15	both	0.000199900049975012	0.000855127991559775	KDM5A
10	chr12	350621	385974	35354	*	5	both	obese	15	both	0.000199900049975012	0.000855127991559775	KDM5A
11	chr12	389348	409421	20074	*	6	both	obese	14	both	0.00519740129935034	0.0137999965534474	KDM5A, CCDC77
12	chr12	566101	645878	79778	*	5	loss	obese	14	loss	0.00169915042478761	0.00545144094619358	LOC100049716, LOC105369595, NINJ2
13	chr12	869132	901074	31943	*	5	both	obese	4	loss	1	1	WNK1
14	chr12	908790	911452	2663	*	3	both	obese	4	loss	1	1	WNK1
15	chr12	991273	1027539	36267	*	8	loss	obese	13	loss	0.108645677161419	0.169004386695541	ERC1
16	chr12	1793655	1793657	3	*	1	loss	obese	14	both	2.91391971712801e-06	8.97487272875428e-05	CACNA2D4
17	chr12	1795060	1795780	721	*	4	gain	obese	14	both	0.000483968542044768	0.00196134619670774	CACNA2D4
18	chr12	1800007	1800052	46	*	2	both	obese	15	both	1.75350921030713e-06	6.75101045968245e-05	CACNA2D4
19	chr12	1800180	1800438	259	*	3	both	obese	15	both	1.05210552618428e-05	0.00011573160788027	CACNA2D4
20	chr12	1801104	1801106	3	*	4	both	obese	15	both	4.9975012493753e-05	0.000256538397467932	CACNA2D4
21	chr12	1809379	1810587	1209	*	4	both	obese	15	both	4.9975012493753e-05	0.000256538397467932	CACNA2D4
22	chr12	1811662	1811798	137	*	4	both	obese	15	both	4.9975012493753e-05	0.000256538397467932	CACNA2D4
23	chr12	1820267	1827815	7549	*	8	loss	obese	11	loss	0.449725137431284	0.577147259703482	LRTM2, CACNA2D4
24	chr12	1918474	1936574	18101	*	5	loss	obese	15	both	0.000199900049975012	0.000855127991559775	LINC00940, CACNA2D4
25	chr12	3732942	3792173	59232	*	10	loss	obese	12	loss	0.681659170414793	0.798176628471334	PARP11, CRACR2A
26	chr12	3806888	3812439	5552	*	5	both	obese	12	loss	0.0253276870336761	0.0520061840424817	PARP11
27	chr12	3871584	3873036	1453	*	10	loss	obese	15	loss	0.0421455938697318	0.0737547892720306	PARP11
28	chr12	3873212	3873399	188	*	6	both	obese	15	loss	0.000699650174912543	0.00234230710731591	PARP11
29	chr12	4248765	4253185	4421	*	10	loss	obese	11	loss	1	1	CCND2-AS1
30	chr12	4273762	4274043	282	*	6	loss	obese	9	loss	0.46609222478544	0.578856472717401	CCND2-AS1, TIGAR, CCND2
31	chr12	4297757	4297968	212	*	1	loss	obese	9	loss	0.00519740129935033	0.0137999965534474	TIGAR, CCND2
32	chr12	4379372	4428715	49344	*	4	both	obese	7	loss	0.449725137431285	0.577147259703482	FGF6, TIGAR, FGF23
33	chr12	4543906	4590440	46535	*	10	both	obese	11	loss	1	1	RAD51AP1, DYRK4
34	chr12	8176999	8177185	187	*	10	both	obese	2	loss	0.00777505983850181	0.018708737736395	ZNF705A
35	chr12	8177581	8180046	2466	*	9	both	obese	2	loss	0.0209395302348826	0.0441738035092043	ZNF705A
36	chr12	12684095	12717839	33745	*	10	loss	obese	12	loss	0.681659170414793	0.798176628471334	CDKN1B, GPR19
37	chr12	27647831	27660945	13115	*	10	both	obese	7	loss	0.462137352376443	0.578610994032294	PPFIBP1
38	chr12	27691749	27695564	3816	*	2	both	obese	9	both	0.0209395302348826	0.0441738035092043	PPFIBP1
39	chr12	27798164	27961997	163834	*	4	both	obese	13	both	0.0025092716799495	0.00690049711986113	PTHLH, KLHL42
40	chr12	27969394	28190641	221248	*	10	both	obese	11	both	1	1	CCDC91, PTHLH, LOC729291
41	chr12	28450179	28978685	528507	*	10	both	obese	11	loss	1	1	CCDC91
42	chr12	29149103	29172050	22948	*	9	loss	obese	15	loss	0.0168582375478927	0.0376256316286301	FAR2
43	chr12	29371659	29371670	12	*	7	both	obese	15	both	0.00219890054972513	0.00627093860477167	ERGIC2
44	chr12	29783752	29783942	191	*	7	both	obese	15	loss	0.00219890054972513	0.00627093860477167	TMTC1
45	chr12	30200983	30321617	120635	*	9	loss	obese	15	loss	0.0168582375478927	0.0376256316286301	
46	chr12	30753761	30926796	173036	*	11	both	obese	15	loss	0.0996168582375479	0.156540777230432	LINC00941, TSPAN11, LOC645485, CAPRIN2
47	chr12	31073860	31074091	232	*	10	loss	obese	13	loss	0.389846743295019	0.522055638847243	DDX11
48	chr12	31106332	31106464	133	*	10	both	obese	15	loss	0.0421455938697318	0.0737547892720306	
49	chr12	31114396	31114464	69	*	10	both	obese	15	loss	0.0421455938697318	0.0737547892720306	
50	chr12	31126347	31127725	1379	*	10	both	obese	15	loss	0.0421455938697318	0.0737547892720306	
51	chr12	31130508	31130589	82	*	10	both	obese	15	loss	0.0421455938697318	0.0737547892720306	
52	chr12	31135954	31136713	760	*	10	both	obese	15	loss	0.0421455938697318	0.0737547892720306	
53	chr12	31148815	31148973	159	*	11	both	obese	15	loss	0.0996168582375479	0.156540777230432	
54	chr12	31157986	31159054	1069	*	11	both	obese	15	loss	0.0996168582375479	0.156540777230432	
55	chr12	31287634	31369301	81668	*	8	both	obese	10	loss	0.710381651279623	0.798176628471334	LINC02387
56	chr12	31389324	31423675	34352	*	4	both	obese	15	both	4.9975012493753e-05	0.000256538397467932	DENND5B
57	chr12	31424535	31426751	2217	*	3	both	obese	15	both	1.05210552618428e-05	0.00011573160788027	DENND5B
58	chr12	31433110	31442925	9816	*	4	both	obese	15	both	4.9975012493753e-05	0.000256538397467932	DENND5B
59	chr12	31480129	31660069	179941	*	13	both	obese	15	both	0.482758620689655	0.590038314176245	DENND5B-AS1, DENND5B, ETFBKMT
60	chr12	31673634	31673638	5	*	4	both	obese	15	both	4.9975012493753e-05	0.000256538397467932	AMN1
61	chr12	31689107	31689118	12	*	4	both	obese	15	both	4.9975012493753e-05	0.000256538397467932	AMN1
62	chr12	31701999	31714631	12633	*	8	both	obese	15	both	0.00632183908045978	0.0154533844189017	AMN1
63	chr12	31728971	31729121	151	*	7	both	obese	9	loss	0.715249186552235	0.798176628471334	AMN1
64	chr12	31792164	31792166	3	*	4	loss	obese	11	loss	0.0268377292262022	0.0536754584524045	H3F3C
65	chr12	31980878	31985957	5080	*	6	loss	obese	11	loss	0.139419763802309	0.204065653887119	RESF1
66	chr12	32107611	32354144	246534	*	7	both	obese	11	loss	0.263541913253899	0.362370130724112	BICD1
67	chr12	32486134	32502338	16205	*	11	both	obese	12	loss	1	1	FGD4
68	chr12	32534408	32534410	3	*	8	both	obese	12	loss	0.245077461269365	0.340017378698038	FGD4
69	chr12	32743408	32744428	1021	*	8	both	obese	10	both	0.710381651279623	0.798176628471334	DNM1L, YARS2
70	chr12	32878920	33718217	839298	*	7	both	obese	9	both	0.715249186552235	0.798176628471334	SYT10, PKP2
71	chr12	48002622	48040761	38140	*	8	both	obese	14	loss	0.0351824087956022	0.0694627045451633	COL2A1
